#{"t_start": 1752288568.589439, "env_id": "None"}
r,l,t
0.03023,500,8.831428
0.89085,500,16.757346
8.992954,500,24.753943
1.451532,500,32.887545
-3.332682,500,50.790881
-1.517727,500,58.52148
-2.594067,500,66.435841
-1.643902,500,74.40536
-0.656108,500,93.748368
-2.683195,500,101.544461
-5.504331,500,109.414966
-1.35024,500,117.308491
0.195419,500,136.438648
-1.175142,500,144.834056
0.679643,500,152.92638
-2.733082,500,160.230003
-2.319289,500,179.304032
-3.242896,500,186.612181
0.794238,500,194.572928
2.316436,500,201.964546
4.604166,500,220.976157
-6.163599,500,228.884539
1.011347,500,236.877478
-1.956303,500,244.28862
-4.320933,500,256.586321
1.147109,500,264.104346
11.641233,500,271.581324
1.295803,500,279.0715
11.341086,500,297.015315
14.476543,500,305.064742
7.21616,500,313.378547
0.555156,500,321.125032
7.792707,500,340.116277
14.206205,500,348.387605
-1.301683,500,355.79737
4.112445,500,363.810709
3.696094,500,383.330566
0.244229,500,390.90945
14.293913,500,398.84146
17.03148,500,406.544489
2.541127,500,426.306752
-1.35897,500,433.973652
15.275523,500,441.799126
-0.213486,500,449.508192
8.258997,500,463.117273
0.965771,500,471.033257
1.249565,500,478.581001
2.850778,500,486.147393
-1.307849,500,505.773993
7.04352,500,513.313271
8.49861,500,520.939962
8.056432,500,528.442358
4.887615,500,547.516213
9.288889,500,555.249192
5.909341,500,563.17303
3.358902,500,570.762145
10.266111,500,589.313514
-1.142407,500,596.781828
3.171594,500,604.445242
2.472551,500,612.012657
0.79584,500,631.451125
1.616233,500,639.617313
1.970482,500,647.769359
1.755791,500,655.816315
8.078599,500,667.67928
3.788187,500,675.176629
6.077469,500,682.783312
23.819245,500,690.22578
8.338478,500,708.52737
3.514298,500,717.079203
-3.867576,500,725.403454
0.564316,500,733.797423
0.633935,500,753.070869
7.908394,500,760.715771
-0.885736,500,768.122945
12.912788,500,775.688216
17.825881,500,794.610889
5.760879,500,802.117532
3.120144,500,809.502895
6.969843,500,816.917531
9.133321,500,835.235269
